Tanggal;TID;Menu;Qty;Harga;Subtotal
2020-01-01;120R0001;Cookies Hias;7;60000;420000
;120R0001;Red Velvet;3;90000;270000
;120R0001;Lavarisol Smoked Beef;1;60000;60000
2020-01-01;120R0002;Brownies Cookies;2;40000;80000
;120R0002;Lavarisol Campur;7;60000;420000
;120R0002;Lidah Kucing;3;70000;210000
;120R0002;Dimsum Siomay Udang Keju;1;32000;32000
2020-01-01;120R0003;Cookies Hias;1;60000;60000
;120R0003;Lidah Kucing;6;70000;420000
;120R0003;Lavarisol Original;4;60000;240000
;120R0003;Red Velvet;6;90000;540000
2020-01-01;120R0004;Lavarisol Campur;3;60000;180000
;120R0004;Blueberry Cheese;5;65000;325000
;120R0004;Brownies Cookies;4;40000;160000
;120R0004;Sagu Keju;4;75000;300000
;120R0004;Cookies Hias;2;60000;120000
2020-01-01;120R0005;Dimsum Siomay Udang Keju;1;32000;32000
;120R0005;Dimsum Siomay Keju;2;30000;60000
;120R0005;Dimsum Siomay Ayam;3;27000;81000
2020-01-01;120R0006;Dimsum Siomay Udang Keju;4;32000;128000
;120R0006;Lavarisol Triple Cheese;2;60000;120000
;120R0006;Lavarisol Smoked Beef;2;60000;120000
2020-01-01;120R0007;Lavarisol Triple Cheese;5;60000;300000
;120R0007;Dimsum Siomay Keju;6;30000;180000
;120R0007;Nastar Spesial;3;90000;270000
;120R0007;Cookies Hias;5;60000;300000
;120R0007;Dimsum Siomay Ayam;1;27000;27000
2020-01-01;120R0008;Sagu Keju;2;75000;150000
;120R0008;Kaastengels;6;85000;510000
;120R0008;Red Velvet;3;90000;270000
;120R0008;Dimsum Siomay Keju;2;30000;60000
2020-01-01;120R0009;Dimsum Siomay Ayam;1;27000;27000
;120R0009;Dimsum Siomay Crab;3;27000;81000
;120R0009;Dimsum Siomay Keju;4;30000;120000
;120R0009;Dimsum Siomay Udang Keju;5;32000;160000
2020-01-01;120R0010;Dimsum Siomay Crab;2;27000;54000
;120R0010;Lavarisol Original;6;60000;360000
;120R0010;Dimsum Siomay Ayam;2;27000;54000
;120R0010;Dimsum Siomay Original;6;25000;150000
2020-01-01;120R0011;Dimsum Siomay Ayam;1;27000;27000
;120R0011;Pudding Batik;2;120000;240000
;120R0011;Putri Salju;6;85000;510000
;120R0011;Dimsum Siomay Udang Keju;5;32000;160000
;120R0011;Cookies Hias;5;60000;300000
2020-01-01;120R0012;Pudding Batik;7;120000;840000
;120R0012;Dimsum Siomay Crab;3;27000;81000
;120R0012;Pudding Buah;3;100000;300000
2020-01-01;120R0013;Dimsum Siomay Crab;2;27000;54000
;120R0013;Lidah Kucing;3;70000;210000
;120R0013;Dimsum Siomay Udang Keju;4;32000;128000
;120R0013;Nastar Spesial;3;90000;270000
2020-01-01;120R0014;Lavarisol Smoked Beef;1;60000;60000
;120R0014;Dimsum Siomay Ayam;2;27000;54000
;120R0014;Cookies Hias;7;60000;420000
2020-01-02;120R0015;Dimsum Siomay Ayam;6;27000;162000
;120R0015;Lavarisol Original;4;60000;240000
;120R0015;Nastar Spesial;3;90000;270000
;120R0015;Red Velvet;3;90000;270000
2020-01-02;120R0016;Nastar Spesial;4;90000;360000
;120R0016;Putri Salju;5;85000;425000
;120R0016;Lavarisol Campur;4;60000;240000
;120R0016;Dimsum Siomay Ayam;6;27000;162000
2020-01-02;120R0017;Lavarisol Original;2;60000;120000
;120R0017;Dimsum Siomay Keju;5;30000;150000
;120R0017;Cookies Hias;5;60000;300000
2020-01-02;120R0018;Putri Salju;1;85000;85000
;120R0018;Nastar Spesial;2;90000;180000
2020-01-02;120R0019;Dimsum Siomay Keju;3;30000;90000
;120R0019;Putri Salju;2;85000;170000
;120R0019;Lidah Kucing;1;70000;70000
2020-01-02;120R0020;Brownies Cookies;6;40000;240000
;120R0020;Red Velvet;1;90000;90000
;120R0020;Pudding Buah;2;100000;200000
2020-01-02;120R0021;Brownies Cookies;4;40000;160000
;120R0021;Pudding Buah;2;100000;200000
;120R0021;Dimsum Siomay Original;1;25000;25000
;120R0021;Sagu Keju;4;75000;300000
2020-01-02;120R0022;Lavarisol Campur;7;60000;420000
;120R0022;Lavarisol Original;2;60000;120000
;120R0022;Kaastengels;7;85000;595000
;120R0022;Dimsum Siomay Udang Keju;5;32000;160000
2020-01-02;120R0023;Red Velvet;3;90000;270000
;120R0023;Blueberry Cheese;1;65000;65000
;120R0023;Lidah Kucing;5;70000;350000
;120R0023;Nastar Spesial;1;90000;90000
2020-01-02;120R0024;Dimsum Siomay Udang Keju;1;32000;32000
;120R0024;Lavarisol Campur;2;60000;120000
;120R0024;Blueberry Cheese;3;65000;195000
2020-01-02;120R0025;Kaastengels;5;85000;425000
;120R0025;Lavarisol Triple Cheese;1;60000;60000
;120R0025;Dimsum Siomay Ayam;5;27000;135000
